"URI","SAMEAS1","SAMEAS2","NAME1","NAME2","NAME3","DOCURI1","DOCTITLE1","DOCURI2","DOCTITLE2","DOCURI3","DOCTITLE3","DOCURI4","DOCTITLE4","RUNDATETIME"
"http://dbpedia.org/resource/Leontius_(usurper)",,,"Leontius",,,"http://en.wikipedia.org/wiki/Leontius_(usurper)","Leontius (usurper)","http://finds.org.uk/byzantinecoins/rulers/ruler/id/2186","Profile for Emperor: Leontius","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Leontius_(usurper)","Photos for DBpedia.org resource Leontius_(usurper)",,,"2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Libius_Severus","http://viaf.org/viaf/1214340",,"Libius Severus",,,"http://en.wikipedia.org/wiki/Libius_Severus","Libius Severus","http://www.roman-emperors.org/libius.htm","Libius Severus","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Libius_Severus","Photos for DBpedia.org resource Libius_Severus",,,"2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Licinianus",,,"Licinianus",,,"http://en.wikipedia.org/wiki/Licinianus","Licinianus","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Licinianus","Photos for DBpedia.org resource Licinianus",,,,,"2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Licinius","http://viaf.org/viaf/66856266",,"Licinius","Valerius Licinianus Licinius",,"http://en.wikipedia.org/wiki/Licinius","Licinius","http://finds.org.uk/romancoins/emperors/emperor/id/119","Profile for Emperor: Licinius","http://www.roman-emperors.org/licinius.htm","Valerius Licinianus Licinius","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Licinius","Photos for DBpedia.org resource Licinius","2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Longinus_(consul_486)",,,"Longinus",,,"http://en.wikipedia.org/wiki/Longinus_(consul_486)","Longinus (consul 486)","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Longinus_(consul_486)","Photos for DBpedia.org resource Longinus_(consul_486)",,,,,"2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Lucius_Verus","http://nomisma.org/id/lucius_verus","http://viaf.org/viaf/42631348","Lucius Verus",,,"http://en.wikipedia.org/wiki/Lucius_Verus","Lucius Verus","http://finds.org.uk/romancoins/emperors/emperor/id/21","Profile for Emperor: Lucius Verus","http://www.roman-emperors.org/lverus.htm","L. Verus","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Lucius_Verus","Photos for DBpedia.org resource Lucius_Verus","2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Macrianus_Major",,,"Macrianus Major",,,"http://en.wikipedia.org/wiki/Macrianus_Major","Macrianus Major","http://finds.org.uk/romancoins/emperors/emperor/id/54","Profile for Emperor: Macrianus Major","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Macrianus_Major","Photos for DBpedia.org resource Macrianus_Major",,,"2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Macrianus_Minor",,,"Macrianus Minor",,,"http://en.wikipedia.org/wiki/Macrianus_Minor","Macrianus Minor","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Macrianus_Minor","Photos for DBpedia.org resource Macrianus_Minor",,,,,"2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Macrinus","http://nomisma.org/id/macrinus","http://viaf.org/viaf/89202499","Macrinus","Marcus Opellius Macrinus",,"http://en.wikipedia.org/wiki/Macrinus","Macrinus","http://finds.org.uk/romancoins/emperors/emperor/id/32","Profile for Emperor: Macrinus","http://www.roman-emperors.org/macrinus.htm","Marcus Opellius Macrinus","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Macrinus","Photos for DBpedia.org resource Macrinus","2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Magnentius",,,"Magnentius",,,"http://en.wikipedia.org/wiki/Magnentius","Magnentius","http://finds.org.uk/romancoins/emperors/emperor/id/121","Profile for Emperor: Magnentius","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Magnentius","Photos for DBpedia.org resource Magnentius",,,"2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Magnus_Maximus",,,"Magnus Maximus",,,"http://en.wikipedia.org/wiki/Magnus_Maximus","Magnus Maximus","http://finds.org.uk/romancoins/emperors/emperor/id/123","Profile for Emperor: Magnus Maximus","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Magnus_Maximus","Photos for DBpedia.org resource Magnus_Maximus",,,"2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Majorian","http://viaf.org/viaf/121585248",,"Julius Valerius Maiorianus","Majorian",,"http://en.wikipedia.org/wiki/Majorian","Majorian","http://finds.org.uk/byzantinecoins/rulers/ruler/id/2174","Profile for Emperor: Majorian","http://www.roman-emperors.org/major.htm","Julius Valerius Maiorianus","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Majorian","Photos for DBpedia.org resource Majorian","2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Manuel_II_Palaiologos",,,"Manuel II","Manuel II Palaiologos",,"http://en.wikipedia.org/wiki/Manuel_II_Palaiologos","Manuel II Palaiologos","http://finds.org.uk/byzantinecoins/rulers/ruler/id/2070","Profile for Emperor: Manuel II","http://www.roman-emperors.org/manuel2.htm","Manuel II Palaiologos","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Manuel_II_Palaiologos","Photos for DBpedia.org resource Manuel_II_Palaiologos","2014-01-22T12:06:09-06:00"
