"dbpedia resource uri","ROMEMP URL","Wikipedia URI","viaf1","name1","name2","name3"
"http://dbpedia.org/resource/Romanos_I_Lekapenos",,"http://en.wikipedia.org/wiki/Romanos_I_Lekapenos",,"Romanos I",,
"http://dbpedia.org/resource/Romanos_II",,"http://en.wikipedia.org/wiki/Romanos_II",,"Romanos II",,
"http://dbpedia.org/resource/Nikephoros_II_Phokas",,"http://en.wikipedia.org/wiki/Nikephoros_II_Phokas",,"Nikephoros II",,
"http://dbpedia.org/resource/John_I_Tzimiskes",,"http://en.wikipedia.org/wiki/John_I_Tzimiskes",,"John I",,
"http://dbpedia.org/resource/Basil_II","http://www.roman-emperors.org/basilii.htm","http://en.wikipedia.org/wiki/Basil_II",,"Basil II",,
"http://dbpedia.org/resource/Constantine_VIII",,"http://en.wikipedia.org/wiki/Constantine_VIII",,"Constantine VIII",,
"http://dbpedia.org/resource/Zoe_(empress)","http://www.roman-emperors.org/zoep.htm","http://en.wikipedia.org/wiki/Zoe_(empress)",,"Zoe","Zoe Porphyrogenita",
"http://dbpedia.org/resource/Romanos_III_Argyros",,"http://en.wikipedia.org/wiki/Romanos_III_Argyros",,"Romanos III",,
"http://dbpedia.org/resource/Michael_IV_the_Paphlagonian",,"http://en.wikipedia.org/wiki/Michael_IV_the_Paphlagonian",,"Michael IV",,
"http://dbpedia.org/resource/Michael_V",,"http://en.wikipedia.org/wiki/Michael_V",,"Michael V",,
"http://dbpedia.org/resource/Theodora_(11th_century)",,"http://en.wikipedia.org/wiki/Theodora_(11th_century)",,"Theodora",,
"http://dbpedia.org/resource/Constantine_IX_Monomachos",,"http://en.wikipedia.org/wiki/Constantine_IX_Monomachos",,"Constantine IX",,
"http://dbpedia.org/resource/Michael_VI_Stratiotikos",,"http://en.wikipedia.org/wiki/Michael_VI_Stratiotikos",,"Michael VI",,
"http://dbpedia.org/resource/Isaac_I_Komnenos",,"http://en.wikipedia.org/wiki/Isaac_I_Komnenos",,"Isaac I Komnenos",,
"http://dbpedia.org/resource/Constantine_X_Doukas",,"http://en.wikipedia.org/wiki/Constantine_X_Doukas",,"Constantine X Doukas",,
"http://dbpedia.org/resource/Michael_VII_Doukas",,"http://en.wikipedia.org/wiki/Michael_VII_Doukas",,"Michael VII Doukas",,
"http://dbpedia.org/resource/Romanos_IV_Diogenes",,"http://en.wikipedia.org/wiki/Romanos_IV_Diogenes",,"Romanos IV (Doukas)",,
"http://dbpedia.org/resource/Nikephoros_III_Botaneiates",,"http://en.wikipedia.org/wiki/Nikephoros_III_Botaneiates",,"Nikephoros III (Botaneiates)",,
"http://dbpedia.org/resource/Alexios_I_Komnenos",,"http://en.wikipedia.org/wiki/Alexios_I_Komnenos",,"Alexios I Komnenos",,
"http://dbpedia.org/resource/John_II_Komnenos","http://www.roman-emperors.org/johncomn.htm","http://en.wikipedia.org/wiki/John_II_Komnenos",,"John II Komnenos","John II Comnenus",
"http://dbpedia.org/resource/Manuel_I_Komnenos","http://www.roman-emperors.org/mannycom.htm","http://en.wikipedia.org/wiki/Manuel_I_Komnenos",,"Manuel I Komnenos","Manuel I Comnenus",
"http://dbpedia.org/resource/Alexios_II_Komnenos","http://www.roman-emperors.org/alexiicom.htm","http://en.wikipedia.org/wiki/Alexios_II_Komnenos",,"Alexios II Komnenos","Alexius II Comnenus",
"http://dbpedia.org/resource/Andronikos_I_Komnenos","http://www.roman-emperors.org/andycomn.htm","http://en.wikipedia.org/wiki/Andronikos_I_Komnenos",,"Andronikos I Komnenos","Andronicus I Comnenus",
"http://dbpedia.org/resource/Isaac_II_Angelos",,"http://en.wikipedia.org/wiki/Isaac_II_Angelos",,"Isaac II",,
"http://dbpedia.org/resource/Alexios_III_Angelos",,"http://en.wikipedia.org/wiki/Alexios_III_Angelos",,"Alexios III",,
"http://dbpedia.org/resource/Alexios_IV_Angelos",,"http://en.wikipedia.org/wiki/Alexios_IV_Angelos",,"Alexios IV",,
"http://dbpedia.org/resource/Alexios_V_Doukas",,"http://en.wikipedia.org/wiki/Alexios_V_Doukas",,"Alexios V",,
"http://dbpedia.org/resource/Constantine_Laskaris",,"http://en.wikipedia.org/wiki/Constantine_Laskaris",,"Contantine (XI)",,
"http://dbpedia.org/resource/Theodore_I_Laskaris",,"http://en.wikipedia.org/wiki/Theodore_I_Laskaris",,"Theodore I",,
"http://dbpedia.org/resource/John_III_Doukas_Vatatzes",,"http://en.wikipedia.org/wiki/John_III_Doukas_Vatatzes",,"John III",,
"http://dbpedia.org/resource/Theodore_II_Laskaris",,"http://en.wikipedia.org/wiki/Theodore_II_Laskaris",,"Theodore II",,
"http://dbpedia.org/resource/John_IV_Laskaris",,"http://en.wikipedia.org/wiki/John_IV_Laskaris",,"John IV",,
"http://dbpedia.org/resource/Michael_VIII_Palaiologos",,"http://en.wikipedia.org/wiki/Michael_VIII_Palaiologos",,"Michael VIII",,
"http://dbpedia.org/resource/Andronikos_II_Palaiologos",,"http://en.wikipedia.org/wiki/Andronikos_II_Palaiologos",,"Andronikos II",,
"http://dbpedia.org/resource/Michael_IX_Palaiologos",,"http://en.wikipedia.org/wiki/Michael_IX_Palaiologos",,"Michael IX",,
"http://dbpedia.org/resource/Andronikos_III_Palaiologos",,"http://en.wikipedia.org/wiki/Andronikos_III_Palaiologos",,"Andronikos III",,
"http://dbpedia.org/resource/John_V_Palaiologos",,"http://en.wikipedia.org/wiki/John_V_Palaiologos",,"John V",,
"http://dbpedia.org/resource/John_VI_Kantakouzenos",,"http://en.wikipedia.org/wiki/John_VI_Kantakouzenos",,"John VI",,
"http://dbpedia.org/resource/Matthew_Kantakouzenos",,"http://en.wikipedia.org/wiki/Matthew_Kantakouzenos",,"Matthew",,
,,,,"Son of Andronikos III, son-in-law of John VI. Co-emperor in 1347. Rival emperor in 1352. Senior Emperor on 4 December 1354.",,
"http://dbpedia.org/resource/Andronikos_IV_Palaiologos",,"http://en.wikipedia.org/wiki/Andronikos_IV_Palaiologos",,"Andronikos IV",,
"http://dbpedia.org/resource/John_VII_Palaiologos",,"http://en.wikipedia.org/wiki/John_VII_Palaiologos",,"John VII",,
"http://dbpedia.org/resource/Manuel_II_Palaiologos","http://www.roman-emperors.org/manuel2.htm","http://en.wikipedia.org/wiki/Manuel_II_Palaiologos",,"Manuel II","Manuel II Palaiologos",
"http://dbpedia.org/resource/Andronikos_V_Palaiologos",,"http://en.wikipedia.org/wiki/Andronikos_V_Palaiologos",,"Andronikos V",,
"http://dbpedia.org/resource/John_VIII_Palaiologos",,"http://en.wikipedia.org/wiki/John_VIII_Palaiologos",,"John VIII",,
"http://dbpedia.org/resource/Constantine_XI_Palaiologos",,"http://en.wikipedia.org/wiki/Constantine_XI_Palaiologos",,"Constantine XI",,
